t_s,mode,action,syn_accept_rate,syn_drop_rate,syn_total,rtt_ms,legit_mbps,thr_norm
1,baseline,0,219056,0,219056,0.01,0.0,0.0
2,baseline,0,0,0,0,0.011,0.0,0.0
3,baseline,0,0,0,0,0.012,0.0,0.0
4,baseline,0,1131,0,1131,0.009,0.0,0.0
5,baseline,0,0,0,0,0.01,0.0,0.0
6,baseline,0,0,0,0,0.011,0.0,0.0
7,baseline,0,0,0,0,0.01,0.0,0.0
8,baseline,0,0,0,0,0.01,0.0,0.0
9,baseline,0,452,0,452,0.015,0.0,0.0
10,baseline,0,3477,0,3477,0.012,0.0,0.0
11,baseline,0,1172,0,1172,0.011,0.0,0.0
12,baseline,0,6060,0,6060,0.011,0.0,0.0
13,baseline,0,0,0,0,0.01,0.0,0.0
14,baseline,0,0,0,0,0.01,0.0,0.0
15,baseline,0,153,0,153,0.01,0.0,0.0
16,baseline,0,428,0,428,0.009,0.0,0.0
17,baseline,0,0,0,0,0.011,0.0,0.0
18,baseline,0,297,0,297,0.011,0.0,0.0
19,baseline,0,0,0,0,0.01,0.0,0.0
20,baseline,0,0,0,0,0.01,0.0,0.0
21,baseline,0,0,0,0,0.01,0.0,0.0
22,baseline,0,541,0,541,0.01,0.0,0.0
23,baseline,0,0,0,0,0.011,0.0,0.0
24,baseline,0,0,0,0,0.01,0.0,0.0
25,baseline,0,0,0,0,0.011,0.0,0.0
26,baseline,0,0,0,0,0.01,0.0,0.0
27,baseline,0,478,0,478,0.009,0.0,0.0
28,baseline,0,0,0,0,0.011,0.0,0.0
29,baseline,0,0,0,0,0.012,0.0,0.0
30,baseline,0,0,0,0,0.011,0.0,0.0
31,baseline,0,0,0,0,0.011,0.0,0.0
32,baseline,0,0,0,0,0.01,0.0,0.0
33,baseline,0,0,0,0,0.011,0.0,0.0
34,baseline,0,731,0,731,0.01,0.0,0.0
35,baseline,0,0,0,0,0.01,0.0,0.0
36,baseline,0,0,0,0,0.01,0.0,0.0
37,baseline,0,240,0,240,0.01,0.0,0.0
38,baseline,0,0,0,0,0.012,0.0,0.0
39,baseline,0,392,0,392,0.011,0.0,0.0
40,baseline,0,0,0,0,0.01,0.0,0.0
41,baseline,0,0,0,0,0.011,0.0,0.0
42,baseline,0,0,0,0,0.011,0.0,0.0
43,baseline,0,0,0,0,0.01,0.0,0.0
44,baseline,0,0,0,0,0.008,0.0,0.0
45,baseline,0,0,0,0,0.01,0.0,0.0
46,baseline,0,99,0,99,0.011,0.0,0.0
47,baseline,0,0,0,0,0.01,0.0,0.0
48,baseline,0,0,0,0,0.009,0.0,0.0
49,baseline,0,0,0,0,0.012,0.0,0.0
50,baseline,0,62,0,62,0.012,95800.0,95800.0
51,baseline,0,0,0,0,0.013,95800.0,95800.0
52,baseline,0,243,0,243,0.011,95800.0,95800.0
53,baseline,0,0,0,0,0.01,95800.0,95800.0
54,baseline,0,0,0,0,0.012,95800.0,95800.0
55,baseline,0,1083,0,1083,0.011,95800.0,95800.0
56,baseline,0,0,0,0,0.011,95800.0,95800.0
57,baseline,0,0,0,0,0.012,95800.0,95800.0
58,baseline,0,0,0,0,0.011,95800.0,95800.0
59,baseline,0,1138,0,1138,0.01,95800.0,95800.0
60,baseline,0,0,0,0,0.011,95800.0,95800.0
