t_s,mode,action,syn_accept_rate,syn_drop_rate,syn_total,rtt_ms,legit_mbps,thr_norm
1,drl,1,30000,518260,548260,0.012,0.0,0.0
2,drl,1,0,976,976,0.011,0.0,0.0
3,drl,1,0,3110,3110,0.01,0.0,0.0
4,drl,1,0,452,452,0.01,0.0,0.0
5,drl,1,0,0,0,0.009,0.0,0.0
6,drl,1,0,0,0,0.01,0.0,0.0
7,drl,1,0,6211,6211,0.012,0.0,0.0
8,drl,1,0,0,0,0.011,0.0,0.0
9,drl,1,0,1629,1629,0.01,0.0,0.0
10,drl,1,0,0,0,0.009,0.0,0.0
11,drl,1,0,63,63,0.01,0.0,0.0
12,drl,1,0,532,532,0.01,0.0,0.0
13,drl,1,40,1484,1524,0.01,0.0,0.0
14,drl,1,0,832,832,0.011,0.0,0.0
15,drl,1,0,0,0,0.01,0.0,0.0
16,drl,1,0,996,996,0.009,0.0,0.0
17,drl,1,0,0,0,0.01,0.0,0.0
18,drl,1,0,0,0,0.01,0.0,0.0
19,drl,1,0,1462,1462,0.011,0.0,0.0
20,drl,1,0,36,36,0.01,0.0,0.0
21,drl,1,0,0,0,0.009,0.0,0.0
22,drl,1,0,0,0,0.011,0.0,0.0
23,drl,1,0,0,0,0.009,0.0,0.0
24,drl,1,0,0,0,0.01,0.0,0.0
25,drl,1,0,0,0,0.013,0.0,0.0
26,drl,1,0,0,0,0.011,0.0,0.0
27,drl,1,0,0,0,0.009,0.0,0.0
28,drl,1,0,2794,2794,0.01,0.0,0.0
29,drl,1,0,0,0,0.011,0.0,0.0
30,drl,1,0,93,93,0.01,0.0,0.0
31,drl,1,0,0,0,0.011,0.0,0.0
32,drl,1,0,0,0,0.013,0.0,0.0
33,drl,1,29,0,29,0.011,0.0,0.0
35,drl,1,0,0,0,0.01,0.0,0.0
36,drl,1,22,0,22,0.01,0.0,0.0
37,drl,1,0,0,0,0.01,0.0,0.0
38,drl,1,0,1935,1935,0.01,0.0,0.0
39,drl,1,0,2299,2299,0.011,0.0,0.0
40,drl,1,0,2938,2938,0.012,0.0,0.0
41,drl,1,0,0,0,0.01,0.0,0.0
42,drl,1,0,0,0,0.01,0.0,0.0
43,drl,1,0,0,0,0.009,0.0,0.0
44,drl,1,0,0,0,0.01,0.0,0.0
45,drl,1,0,666,666,0.011,0.0,0.0
46,drl,1,0,0,0,0.009,0.0,0.0
47,drl,1,0,0,0,0.012,0.0,0.0
48,drl,1,0,0,0,0.012,0.0,0.0
49,drl,1,0,1205,1205,0.01,0.0,0.0
50,drl,1,0,0,0,0.01,95500.0,95500.0
51,drl,1,28,736,764,0.012,95500.0,95500.0
52,drl,1,0,3099,3099,0.01,95500.0,95500.0
53,drl,1,0,0,0,0.011,95500.0,95500.0
54,drl,1,0,0,0,0.01,95500.0,95500.0
55,drl,1,0,0,0,0.011,95500.0,95500.0
56,drl,1,0,1098,1098,0.011,95500.0,95500.0
57,drl,1,0,2229,2229,0.011,95500.0,95500.0
58,drl,1,0,0,0,0.011,95500.0,95500.0
59,drl,1,0,0,0,0.011,95500.0,95500.0
60,drl,1,0,0,0,0.009,95500.0,95500.0
61,drl,1,0,0,0,0.012,95500.0,95500.0
