t_s,mode,action,syn_accept_rate,syn_drop_rate,syn_total,rtt_ms,legit_mbps,thr_norm
1,static,4,150,600426,600576,0.012,0.0,0.0
2,static,4,0,0,0,0.012,0.0,0.0
3,static,4,0,2469,2469,0.011,0.0,0.0
4,static,4,0,2485,2485,0.011,0.0,0.0
5,static,4,0,2584,2584,0.011,0.0,0.0
6,static,4,0,2713,2713,0.01,0.0,0.0
7,static,4,0,0,0,0.011,0.0,0.0
8,static,4,0,2033,2033,0.011,0.0,0.0
9,static,4,0,0,0,0.01,0.0,0.0
10,static,4,0,2540,2540,0.009,0.0,0.0
11,static,4,0,0,0,0.011,0.0,0.0
12,static,4,0,1986,1986,0.011,0.0,0.0
13,static,4,0,0,0,0.011,0.0,0.0
14,static,4,0,2227,2227,0.01,0.0,0.0
15,static,4,0,0,0,0.009,0.0,0.0
16,static,4,0,396,396,0.01,0.0,0.0
17,static,4,0,0,0,0.01,0.0,0.0
18,static,4,0,0,0,0.011,0.0,0.0
19,static,4,0,0,0,0.013,0.0,0.0
20,static,4,0,589,589,0.011,0.0,0.0
21,static,4,0,1298,1298,0.01,0.0,0.0
22,static,4,0,0,0,0.009,0.0,0.0
23,static,4,0,0,0,0.01,0.0,0.0
24,static,4,0,3821,3821,0.01,0.0,0.0
25,static,4,0,0,0,0.01,0.0,0.0
26,static,4,0,0,0,0.011,0.0,0.0
27,static,4,0,0,0,0.012,0.0,0.0
28,static,4,0,0,0,0.012,0.0,0.0
29,static,4,0,1705,1705,0.008,0.0,0.0
30,static,4,0,0,0,0.01,0.0,0.0
31,static,4,0,0,0,0.01,0.0,0.0
32,static,4,0,2610,2610,0.011,0.0,0.0
33,static,4,0,1499,1499,0.011,0.0,0.0
34,static,4,0,0,0,0.01,0.0,0.0
35,static,4,0,1454,1454,0.011,0.0,0.0
36,static,4,0,0,0,0.01,0.0,0.0
37,static,4,0,0,0,0.01,0.0,0.0
38,static,4,0,1208,1208,0.012,0.0,0.0
39,static,4,0,0,0,0.009,0.0,0.0
40,static,4,0,767,767,0.011,0.0,0.0
41,static,4,0,2849,2849,0.01,0.0,0.0
42,static,4,0,0,0,0.01,0.0,0.0
43,static,4,0,0,0,0.009,0.0,0.0
44,static,4,0,4176,4176,0.011,0.0,0.0
45,static,4,0,0,0,0.01,0.0,0.0
46,static,4,0,2999,2999,0.01,0.0,0.0
47,static,4,0,0,0,0.012,0.0,0.0
48,static,4,0,0,0,0.011,0.0,0.0
49,static,4,0,1231,1231,0.01,0.0,0.0
50,static,4,0,2407,2407,0.011,99300.0,99300.0
51,static,4,0,0,0,0.011,99300.0,99300.0
52,static,4,0,3143,3143,0.01,99300.0,99300.0
53,static,4,0,0,0,0.011,99300.0,99300.0
54,static,4,0,795,795,0.009,99300.0,99300.0
55,static,4,0,0,0,0.012,99300.0,99300.0
56,static,4,0,0,0,0.01,99300.0,99300.0
57,static,4,0,4252,4252,0.011,99300.0,99300.0
58,static,4,0,0,0,0.01,99300.0,99300.0
59,static,4,0,0,0,0.01,99300.0,99300.0
60,static,4,0,0,0,0.01,99300.0,99300.0
